ID,IC50_nM
TEST_000,157.59774534092867
TEST_001,43.883372870036524
TEST_002,17.052968899095873
TEST_003,25.579968185549923
TEST_004,30.73264929204258
TEST_005,9.711806033832875
TEST_006,29.362971257566535
TEST_007,29.65514145782592
TEST_008,66.35902555060956
TEST_009,225.52775667452397
TEST_010,234.2070694793807
TEST_011,21.001139374390835
TEST_012,27.777937729056795
TEST_013,138.73946006030792
TEST_014,29.55969849504585
TEST_015,37.179196520448265
TEST_016,33.88961746318542
TEST_017,71.43318261560488
TEST_018,22.599560844343745
TEST_019,67.17381285473813
TEST_020,18.167702098188062
TEST_021,29.525686217289685
TEST_022,112.12436590474879
TEST_023,9.711806033832875
TEST_024,16.394568852635746
TEST_025,20.46444636724653
TEST_026,11.0331621276697
TEST_027,52.07148940339911
TEST_028,17.076544728138472
TEST_029,20.86892123914308
TEST_030,11.822246217614587
TEST_031,17.745980501516954
TEST_032,26.913282289240573
TEST_033,79.39625172698533
TEST_034,60.86252977242729
TEST_035,22.730029532909825
TEST_036,29.053603143031452
TEST_037,86.9560893254592
TEST_038,23.4368909882697
TEST_039,34.41913882684245
TEST_040,17.980426951774387
TEST_041,55.38174895828523
TEST_042,16.36062913101389
TEST_043,18.167702098188062
TEST_044,36.23264175531296
TEST_045,8.425583753398213
TEST_046,67.06562867022768
TEST_047,72.06095277894123
TEST_048,104.09982513712134
TEST_049,16.99808513203474
TEST_050,46.56396991886106
TEST_051,21.379620895022367
TEST_052,48.95533198139503
TEST_053,11.07898565374278
TEST_054,30.718499642344376
TEST_055,17.741894808901463
TEST_056,78.12679345515957
TEST_057,41.879356511791656
TEST_058,29.696139863991803
TEST_059,66.61929002234538
TEST_060,87.6496124166708
TEST_061,22.924506747734444
TEST_062,19.64264645879826
TEST_063,48.77530569745951
TEST_064,58.3713852550506
TEST_065,17.656312222633517
TEST_066,46.904372835951214
TEST_067,40.930104847255315
TEST_068,33.97582413485952
TEST_069,43.36107094491863
TEST_070,20.677593819194357
TEST_071,75.57880136804566
TEST_072,10.670874200130875
TEST_073,35.188438882095625
TEST_074,19.687927435365978
TEST_075,78.28886556130107
TEST_076,24.900037433881806
TEST_077,16.058316006249918
TEST_078,17.175128696706246
TEST_079,66.66532489562994
TEST_080,22.304885593775957
TEST_081,19.54789510877671
TEST_082,58.81661141430372
TEST_083,10.670874200130875
TEST_084,47.28245305117931
TEST_085,59.841159506031616
TEST_086,21.37962089502215
TEST_087,65.4184123569234
TEST_088,68.78599123087983
TEST_089,39.6825890950911
TEST_090,39.345946763408044
TEST_091,66.03892574785412
TEST_092,18.452986612519066
TEST_093,53.00701316606246
TEST_094,21.120295974610187
TEST_095,91.90729834156656
TEST_096,58.3713852550506
TEST_097,70.71854770895857
TEST_098,72.39357102423027
TEST_099,60.93497912203729
TEST_100,12.122717925364883
TEST_101,32.59867889044647
TEST_102,67.84221204982633
TEST_103,60.627082091427916
TEST_104,70.26677153887658
TEST_105,87.42789056853427
TEST_106,50.53589947531675
TEST_107,61.85858764917826
TEST_108,37.702197721669556
TEST_109,78.47837467196537
TEST_110,18.167702098188062
TEST_111,58.04970271968638
TEST_112,29.160837985212165
