Molecule ChEMBL ID,Smiles,Standard Value
CHEMBL210682,O=C(Nc1nc2cc(Cl)ccc2[nH]1)c1cccc([N+](=O)[O-])c1,6000
CHEMBL3634503,Cn1cc(NC(=O)c2ccc3cnc(N[C@@H]4CCCNC4)nn23)c(C(F)(F)F)n1,2
CHEMBL3634503,Cn1cc(NC(=O)c2ccc3cnc(N[C@@H]4CCCNC4)nn23)c(C(F)(F)F)n1,34
CHEMBL3634380,Cn1cc(NC(=O)c2csc3ncc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C(F)(F)F)n1,1
CHEMBL3634512,Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(Cl)n1,12
CHEMBL3634614,Cn1cc(NC(=O)c2ccc3cnc(N[C@@H]4CCCC[C@@H]4N)nn23)c(C#N)n1,25
CHEMBL3590438,Cn1cc(NC(=O)c2cnn3ccc(NCCN)nc23)c(C(N)=O)n1,2
CHEMBL3590483,Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(-c2cncnc2)n1,160
CHEMBL408077,COc1cccc(NC(=O)c2csc(-c3cccnc3)n2)c1,8900
CHEMBL4073250,CCOc1cc2c(OC[C@@H]3CCC(=O)N3)nccc2cc1C(N)=O,23.9
CHEMBL4084228,COc1cc2c(OC[C@H]3NC(=O)[C@@H]4[C@@H](C)[C@@H]43)nccc2cc1C(N)=O,2.4
CHEMBL209716,CCCCn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,2000
CHEMBL209075,CCCCn1c(NC(=O)c2ccc(Cl)c(Cl)c2)nc2ccccc21,3000
CHEMBL4548760,COC(=O)N1CCN([C@H]2CC[C@H](Nc3nc(Nc4cnn(C)c4)nc4ccc(C(C)C#N)nc34)CC2)CC1,6
CHEMBL4081634,CNC(=O)c1cnc(Nc2ccc3ncsc3c2)cc1NC1CCCC1,13
CHEMBL3907736,CC(=O)NC1CCN(C(=O)c2nnc(-c3cnc(Nc4ccc5ncsc5c4)cc3NC(C)C)s2)C1,3.3
CHEMBL3353197,CNC(=O)c1nc(-c2cnc(Nc3ccc4ncsc4c3)cc2NC(C)C)sc1C,1.8
CHEMBL3894727,CC(C)Nc1cc(Nc2ccc3ncsc3c2)ncc1-c1nc(C(=O)N2CCC3(CC2)C(=O)NCN3c2ccccc2)cs1,575.9
CHEMBL3921439,CC(C)Nc1cc(Nc2ccc3ncsc3c2)ncc1-c1nc(C(=O)NCC2CCCCC2)cs1,795
CHEMBL3987067,CC(C)Nc1cc(Nc2ccc3ncsc3c2)ncc1-c1nnc(NC2CNC2)o1,26.4
CHEMBL3973407,CC(C)Nc1cc(Nc2ccc3ncsc3c2)ncc1-c1nnc(N2CCN(CCO)CC2)o1,25.4
CHEMBL3892422,CC(C)Nc1cc(Nc2ccc3ncsc3c2)ncc1-c1ccc2cn[nH]c2c1,812.8
CHEMBL3622183,O=c1[nH]c(NC2CC2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1,25
CHEMBL3936790,C[C@H]1C[C@@H](Nc2nc(N3CCOCC3)[nH]c(=O)c2-c2nc3ccccc3s2)[C@H](O)[C@@H]1O,23
CHEMBL4107195,O=c1[nH]c(N2CCOC(CO)C2)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1,43
CHEMBL4110426,CN(C)c1nc(N[C@@H]2CCCNC2)c(-c2nc3ccccc3s2)c(=O)[nH]1,74
CHEMBL4108005,CC1CCCN(c2nc(N[C@@H]3CCCNC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)C1,140
CHEMBL4108358,Cc1ccc2sc(-c3c(N[C@@H]4CCCNC4)nc(N4CCOCC4)[nH]c3=O)nc2c1,50
CHEMBL3590485,Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4O)nc23)c(C(F)(F)F)n1,21
CHEMBL3590492,Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CC(F)(F)CC[C@@H]4N)nc23)c(C(F)(F)F)n1,3
CHEMBL3590478,Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C(F)(F)F)n1,0.3
CHEMBL414028,O=C(Nc1ccc(N2CCOCC2)cc1)c1csc(-c2cccnc2)n1,2800
CHEMBL260339,O=C(Nc1ccccc1)c1csc(-c2cccnc2)n1,7200
CHEMBL403433,COc1ccc2ncc(-c3cccc(NC4CNC4)n3)n2c1,7
CHEMBL256513,NCCCNc1cccc(-c2cnc3ccccn23)n1,1300
CHEMBL3634513,Cn1cc(NC(=O)c2ccc3cnc(N[C@@H]4CCCC[C@@H]4N)nn23)c(Cl)n1,26
CHEMBL4108994,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NCC(F)(F)F,11.9
CHEMBL3904382,C[C@@H](CF)Nc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,2.4
CHEMBL4108811,CC(C)Nc1cc(-n2ncc3cncnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,6.2
CHEMBL4111880,CC(C)Nc1cc(-n2ncc3cc(C#N)c(N)nc32)ncc1C(=O)N[C@H](C)C1CC1,17.3
CHEMBL3890249,CC(C)(O)CCNC(=O)c1cnc(-n2ccc3cc(Cl)cnc32)cc1NC1CCOCC1,3.1
CHEMBL4115151,CC(C)Nc1cc(-n2ccc3cc(F)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,1.6
CHEMBL4111310,COc1cccc(Nc2cc(-n3ccc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)c1,4.4
CHEMBL3914563,CC(C)Nc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)NCCc1ccc(S(N)(=O)=O)cc1,2.7
CHEMBL3970825,CC(C)Nc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)N[C@H]1CC[C@H]([N+](=O)[O-])CC1,5.1
CHEMBL3921034,CCNc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)N[C@H]1CC[C@H](C(C)(C)O)CC1,2.5
CHEMBL3973484,CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)Nc1cnn(C2COC2)c1,10.6
CHEMBL3903828,CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)N[C@H]1CC[C@H](NC(=O)[C@H](C)O)CC1,6.2
CHEMBL4114114,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1N[C@H]1CC[C@@](C)(O)CC1,1.3
CHEMBL3946151,CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NC1CCN(c2ncccn2)CC1,15.7
CHEMBL210366,CCOCCn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,2000
CHEMBL377259,Cc1ccc2[nH]c(NC(=O)c3cccc([N+](=O)[O-])c3)nc2c1,800
CHEMBL210822,CCn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,2000
CHEMBL3590515,Cn1cc(NC(=O)c2cnn3ccc(N4C[C@H](N)CC(F)(F)C4)nc23)c(C(F)F)n1,0.5
CHEMBL3634380,Cn1cc(NC(=O)c2csc3ncc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C(F)(F)F)n1,20
CHEMBL3634382,Cn1cc(NC(=O)c2ccc3ccc(N[C@@H]4CCCC[C@@H]4N)nn23)c(C(F)F)n1,25
CHEMBL3622528,O=c1[nH]c(N2CCOCC2)nc(N[C@@H]2CCC[C@@H](O)C2)c1-c1nc2ccccc2s1,454
CHEMBL3622184,Cc1nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c(-c2nc3ccccc3s2)c(=O)[nH]1,635
CHEMBL3622518,O=c1[nH]c(N2CCOCC2)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1,1900
CHEMBL4110722,CC(C)(O)c1cccc(Nc2cc(-n3ccc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)c1,1.6
CHEMBL3955423,CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCCc1c[nH]cn1,4.7
CHEMBL3951199,CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCC(F)C1(O)COC1,5.3
CHEMBL3890756,CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCCc1ccc(S(N)(=O)=O)cc1,3.1
CHEMBL3954452,CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCCc1ccncc1,2.5
CHEMBL3893606,CC(C)Nc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)N[C@H]1CC[C@](F)(c2ccnn2C)CC1,3.3
CHEMBL3954542,CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCC(=O)N1CCOCC1,14.4
CHEMBL3925280,CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCCC1(O)CCOCC1,6.1
CHEMBL3963886,CC(=O)Nc1ccc(CCNC(=O)c2cnc(-n3ncc4cc(C#N)cnc43)cc2NC(C)C)cc1,1.6
CHEMBL4068975,NC(=O)c1cnc(Nc2ccc3ncsc3c2)cc1NCc1cc(F)ccc1F,180
CHEMBL208561,COC(=O)c1ccc2[nH]c(NC(=O)c3cccc([N+](=O)[O-])c3)nc2c1,25000
CHEMBL208166,O=C(Nc1nc2ccccc2n1CCC1CCC1)c1cccc([N+](=O)[O-])c1,2000
CHEMBL208709,CCOC(=O)CCn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,1000
CHEMBL4776227,CC1(C)OC(=O)c2ccc(Nc3ncc(C(N)=O)c(N[C@H](CO)c4ccccc4)n3)cc21,160
CHEMBL210194,CCOC(=O)Cn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,400
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,6.19
CHEMBL4583622,COC(=O)N1CCN([C@H]2CC[C@H](Nc3ncnc4ccc(C)nc34)CC2)CC1,279
CHEMBL426133,N#Cc1cccc(C(=O)Nc2nc3ccccc3[nH]2)c1,13600
CHEMBL209118,O=C(Nc1nc2ccccc2[nH]1)c1ccc(F)c([N+](=O)[O-])c1,6500
CHEMBL209715,Cc1ccc(C(=O)Nc2nc3ccccc3[nH]2)cc1[N+](=O)[O-],12000
CHEMBL209820,CCCS(=O)(=O)c1ccc2[nH]c(NC(=O)c3cccc([N+](=O)[O-])c3)nc2c1,4000
CHEMBL4108757,O=c1[nH]c(N2CCC(n3ccnn3)CC2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1,11.8
CHEMBL4112769,O=c1[nH]c(N2CCC(c3cccnc3)CC2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1,13.3
CHEMBL3963673,O=c1[nH]c(N2CCOCC2)nc(NCC(O)CO)c1-c1ccc2ccccc2n1,1700
CHEMBL4111555,O=C1C[C@H](Nc2nc(N[C@@H]3CCCNC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)Cc2ccccc2N1,8900
CHEMBL404514,COc1ccc(NC(=O)c2csc(-c3cccnc3)n2)c(OC)c1,1200
CHEMBL408383,O=C(Nc1ccccc1OC(F)F)c1csc(-c2cccnc2)n1,1000
CHEMBL4115086,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NCC(C)(C)N1CCOCC1,10.7
CHEMBL4112293,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1N[C@H]1CC[C@H](C(C)(C)O)CC1,4
CHEMBL4113443,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(F)cnc32)cc1NC1CCC(F)C1,4
CHEMBL4112444,CNC(=O)[C@H]1CC[C@H](NC(=O)c2cnc(-n3ncc4cc(C#N)c(N)nc43)cc2N[C@@H]2CCCC[C@H]2F)CC1,3.3
CHEMBL3895603,CC[C@H](C)Nc1cc(-n2ncc3cc(Cl)c(N)nc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,1.9
CHEMBL3923198,COC1CCC(O)(CCNC(=O)c2cnc(-n3ncc4cc(C#N)cnc43)cc2NC(C)C)CC1,3.5
CHEMBL4115670,CC(C)Nc1cc(-n2cnc3cncnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,15.1
CHEMBL4108325,COC(C)(C)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC(C)C,1.6
CHEMBL3933400,CC(F)[C@H](C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,3.9
CHEMBL3947585,CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCCN1CCS(=O)(=O)CC1,8.1
CHEMBL3902784,CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCCC1(O)CCC(F)(F)CC1,6.5
