Molecule ChEMBL ID,Smiles,Standard Value,pIC50
CHEMBL4093989,CC(C)Oc1ccccc1C(N)=O,55000,4.26
CHEMBL208667,O=C(Nc1nc2cc(F)c(F)cc2[nH]1)c1cccc([N+](=O)[O-])c1,30000,4.52
CHEMBL377654,CCCCn1c(NC(=O)c2cccc(Cl)c2)nc2ccccc21,30000,4.52
CHEMBL380009,O=C(Nc1nc2cc[nH]cc-2n1)c1cccc([N+](=O)[O-])c1,30000,4.52
CHEMBL2385543,O=C1c2oc(-c3ccc(Cl)cc3)cc2Cc2cc(N3CCNCC3)ccc2N1Cc1ccccc1-c1cccnc1,26000,4.58
CHEMBL208561,COC(=O)c1ccc2[nH]c(NC(=O)c3cccc([N+](=O)[O-])c3)nc2c1,25000,4.6
CHEMBL3343037,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCO,24400,4.61
CHEMBL207226,CCCCCn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,20000,4.7
CHEMBL4089510,CN(C)C(=O)c1cnc(Nc2ccc3ncsc3c2)cc1N[C@H](CO)Cc1ccccc1,14600,4.84
CHEMBL4752693,CC1(C)OC(=O)c2ccc(Nc3ncc(C(=O)O)c(N[C@H](CO)c4ccccc4)n3)cc21,14000,4.85
CHEMBL426133,N#Cc1cccc(C(=O)Nc2nc3ccccc3[nH]2)c1,13600,4.87
CHEMBL209715,Cc1ccc(C(=O)Nc2nc3ccccc3[nH]2)cc1[N+](=O)[O-],12000,4.92
CHEMBL3601199,OC[C@H]1C[C@@H](Nc2nc(NC3CCC3)ccc2-c2nc3ccccc3s2)[C@H](O)[C@@H]1O,11900,4.92
CHEMBL3601198,Nc1ccc(-c2nc3ccccc3s2)c(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)n1,9510,5.02
CHEMBL3914726,O=C(Nc1cc(Cl)ccc1OC1CCC(O)CC1)c1cnn2cc(CCCO)cnc12,9417,5.03
CHEMBL3590437,Cn1cc(NC(=O)c2cnn3ccc(OCCN)nc23)c(C(N)=O)n1,9200,5.04
CHEMBL408077,COc1cccc(NC(=O)c2csc(-c3cccnc3)n2)c1,8900,5.05
CHEMBL4111555,O=C1C[C@H](Nc2nc(N[C@@H]3CCCNC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)Cc2ccccc2N1,8900,5.05
CHEMBL3939266,COc1cc(CO)ccc1NC(=O)c1cnn2cccnc12,8673,5.06
CHEMBL3915971,COc1ccc(CCCO)cc1NC(=O)c1cnn2cccnc12,8361,5.08
CHEMBL4110843,O=c1[nH]c(N2CCOCC2)nc(N[C@H]2c3ccccc3C[C@H]2O)c1-c1nc2ccccc2s1,8300,5.08
CHEMBL258025,CN(C)CCCNc1cccc(-c2cnc3ccccn23)n1,8100,5.09
CHEMBL3943924,COc1ccc(Cl)cc1NC(=O)c1csc2cnc(NCCNC(C)=O)nc12,8087,5.09
CHEMBL3971606,CC(=O)NCCNc1nc(N2CCOCC2)[nH]c(=O)c1-c1nc2ccccc2s1,8200,5.09
