Smiles,IC50_nM

O=C(Nc1nc2cc(Cl)ccc2[nH]1)c1cccc([N+](=O)[O-])c1,6000

Cn1cc(NC(=O)c2ccc3cnc(N[C@@H]4CCCNC4)nn23)c(C(F)(F)F)n1,2

Cn1cc(NC(=O)c2ccc3cnc(N[C@@H]4CCCNC4)nn23)c(C(F)(F)F)n1,34

Cn1cc(NC(=O)c2csc3ncc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C(F)(F)F)n1,1

Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(Cl)n1,12

Cn1cc(NC(=O)c2ccc3cnc(N[C@@H]4CCCC[C@@H]4N)nn23)c(C#N)n1,25

Cn1cc(NC(=O)c2cnn3ccc(NCCN)nc23)c(C(N)=O)n1,2

Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(-c2cncnc2)n1,160

COc1cccc(NC(=O)c2csc(-c3cccnc3)n2)c1,8900

CCOc1cc2c(OC[C@@H]3CCC(=O)N3)nccc2cc1C(N)=O,23.9

COc1cc2c(OC[C@H]3NC(=O)[C@@H]4[C@@H](C)[C@@H]43)nccc2cc1C(N)=O,2.4

CCCCn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,2000

CCCCn1c(NC(=O)c2ccc(Cl)c(Cl)c2)nc2ccccc21,3000

COC(=O)N1CCN([C@H]2CC[C@H](Nc3nc(Nc4cnn(C)c4)nc4ccc(C(C)C#N)nc34)CC2)CC1,6

CNC(=O)c1cnc(Nc2ccc3ncsc3c2)cc1NC1CCCC1,13

CC(=O)NC1CCN(C(=O)c2nnc(-c3cnc(Nc4ccc5ncsc5c4)cc3NC(C)C)s2)C1,3.3

CNC(=O)c1nc(-c2cnc(Nc3ccc4ncsc4c3)cc2NC(C)C)sc1C,1.8

CC(C)Nc1cc(Nc2ccc3ncsc3c2)ncc1-c1nc(C(=O)N2CCC3(CC2)C(=O)NCN3c2ccccc2)cs1,575.9

CC(C)Nc1cc(Nc2ccc3ncsc3c2)ncc1-c1nc(C(=O)NCC2CCCCC2)cs1,795

CC(C)Nc1cc(Nc2ccc3ncsc3c2)ncc1-c1nnc(NC2CNC2)o1,26.4

