ID,IC50_nM
TEST_000,1449.3966666666665
TEST_001,282.3678766666666
TEST_002,209.26778
TEST_003,74.58460000000001
TEST_004,164.609
TEST_005,206.8349366666667
TEST_006,1082.7669333333333
TEST_007,88.57366666666668
TEST_008,183.02199000000002
TEST_009,1257.07
TEST_010,1135.30386
TEST_011,181.01464757575758
TEST_012,109.55966666666667
TEST_013,415.1531466666667
TEST_014,326.9776
TEST_015,269.9750666666667
TEST_016,327.5925999999999
TEST_017,250.75709999999992
TEST_018,300.01511333333326
TEST_019,227.2893242424242
TEST_020,221.02877999999998
TEST_021,605.9141
TEST_022,252.61465285714286
TEST_023,206.6418466666667
TEST_024,73.96089
TEST_025,106.87426666666666
TEST_026,382.1398799999999
TEST_027,366.69687666666664
TEST_028,261.20959666666664
TEST_029,253.50983761904757
TEST_030,249.64562333333336
TEST_031,263.16167999999993
TEST_032,56.892999999999994
TEST_033,227.82289999999998
TEST_034,307.6928499999999
TEST_035,226.6178633333333
TEST_036,264.44397999999995
TEST_037,1172.4444057142855
TEST_038,284.11466666666666
TEST_039,84.601
TEST_040,220.07677999999993
TEST_041,208.37789999999993
TEST_042,284.85659428571415
TEST_043,221.02877999999998
TEST_044,291.2941
TEST_045,209.71268
TEST_046,1133.8378599999999
TEST_047,1769.37386
TEST_048,500.93806666666666
TEST_049,261.13527
TEST_050,246.82157714285717
TEST_051,252.92680666666655
TEST_052,469.2139333333333
TEST_053,327.6671133333333
TEST_054,613.6826666666668
TEST_055,260.92968
TEST_056,705.3599266666665
TEST_057,644.50721
TEST_058,397.5894333333334
TEST_059,451.7086909090909
TEST_060,503.9519266666666
TEST_061,44.162324242424276
TEST_062,261.53302999999994
TEST_063,266.2938766666666
TEST_064,194.57765666666666
TEST_065,278.4316799999999
TEST_066,339.8169
TEST_067,244.08899999999997
TEST_068,266.1796666666667
TEST_069,263.9985433333333
TEST_070,224.2624228571428
TEST_071,1443.7813333333334
TEST_072,209.21177999999998
TEST_073,1033.0029000000002
TEST_074,1468.1025947619048
TEST_075,253.6131
TEST_076,73.29593333333334
TEST_077,265.19667999999996
TEST_078,221.27576999999997
TEST_079,1348.536690909091
TEST_080,113.92750000000002
TEST_081,377.87899
TEST_082,275.2588766666667
TEST_083,205.41126999999994
TEST_084,275.3095666666666
TEST_085,227.3532333333333
TEST_086,224.67733333333337
TEST_087,459.1406909090909
TEST_088,514.9609266666666
TEST_089,334.60694090909084
TEST_090,269.36594333333335
TEST_091,185.00163333333333
TEST_092,50.82633333333333
TEST_093,255.9894661904762
TEST_094,255.08913999999996
TEST_095,507.04552666666655
TEST_096,194.57765666666666
TEST_097,185.6184661904762
TEST_098,517.96686
TEST_099,397.12225666666666
TEST_100,286.2586133333333
TEST_101,91.15893333333334
TEST_102,1566.6813333333332
TEST_103,381.76159000000007
TEST_104,324.80998999999997
TEST_105,504.1397266666666
TEST_106,405.7634333333333
TEST_107,255.78799999999995
TEST_108,242.58900000000003
TEST_109,504.00726
TEST_110,221.02877999999998
TEST_111,210.74239999999995
TEST_112,80.36566666666667
